review,source_file,tokens,sentiment,dominant_topic,category,image_path,product_url
"mi10****
탑리뷰어
BEST 리뷰
신고
25.03.26
옵션
(유넥) 아이보리
FREE
사이즈
생각보다 커요
퀄리티
아주 만족해요
색감
화면과 비슷해요
정보
165cm
51kg
상의 55
모달이라 부드럽고 너무 편안해요~ 입은듯 안입은듯ㅎㅎ 몸에 닿는면이 부드러우니 자꾸 손이가는 옷입니다^^

깊은 유넥이라 쇄골이 보이니 더 날씬해보이고 답답함이 없어요~ 유넥부분도 그냥 박음질된게 아니라 마감처리가 깔끔하게되어 늘어짐 없을것같아요^^…
더보기",zigzag_reviews_1.csv,"['유넥', '자꾸', '유넥', '쇄골', '유넥부분', '박음질']",positive,0,상의/반팔,review_1.jpg,https://zigzag.kr/catalog/products/122550593
"OmlrkDgn
신고
24.06.10
옵션
아이보리
FREE
사이즈
정사이즈예요
퀄리티
아주 만족해요
색감
화면과 비슷해요
정보
164cm
55kg
상의 55
기본 티가 편하고 재질 좋은게 필요했는데 마침 모달 유넥 반팔 티셔츠를 발견하고 구매하게 됐어요!

평소 55사이즈를 입는데, 사이즈도 잘 맞고
일단 모달 재질이라 착용감이 너무 편하고 좋아요~
신축성도 좋고 챠르르 떨어지는 핏이라 바지에 넣지 않고 …
더보기",zigzag_reviews_1.csv,"['마침', '유넥', '티셔츠', '발견', '평소', '일단', '착용', '신축', '성도', '챠르르']",positive,2,상의/반팔,review_1.jpg,https://zigzag.kr/catalog/products/122550593
"mi10****
탑리뷰어
신고
25.03.26
옵션
(유넥) 라이트베이지
FREE
사이즈
생각보다 커요
퀄리티
아주 만족해요
색감
화면과 비슷해요
정보
165cm
51kg
상의 55
모달이라 부드럽고 너무 편안해요~ 입은듯 안입은듯ㅎㅎ 몸에 닿는면이 부드러우니 자꾸 손이가는 옷입니다^^

깊은 유넥이라 쇄골이 보이니 더 날씬해보이고 답답함이 없어요~ 유넥부분도 그냥 박음질된게 아니라 마감처리가 깔끔하게되어 늘어짐 없을것같아요^^…
더보기",zigzag_reviews_1.csv,"['유넥', '라이트', '베이지', '자꾸', '유넥', '쇄골', '유넥부분', '박음질']",positive,0,상의/반팔,review_1.jpg,https://zigzag.kr/catalog/products/122550593
"서계안
탑리뷰어
BEST 리뷰
신고
25.05.11
옵션
(유넥) 아이보리
FREE
사이즈
정사이즈예요
퀄리티
아주 만족해요
색감
화면과 비슷해요
정보
168cm
56kg
상의 66
? 재구매입니다.

저 이거 얼마 전에 검은 색으로 한 장 샀는데 결국 아이보리와 라이트카키 2장 추가로 구매했습니다. 뭔가 촤르르한 느낌이 좋고 군살이 부각되지 않아서 (특히 배부분) 하루종일 입고 있어도 부담이 없고 너무 편안해요. 3장 함께 찍은…
더보기",zigzag_reviews_1.csv,"['유넥', '얼마', '라이트', '카키', '추가', '뭔가', '촤르르', '군살', '부각', '배부', '하루', '종일', '부담']",positive,1,상의/반팔,review_1.jpg,https://zigzag.kr/catalog/products/122550593
"혀니
탑리뷰어
신고
25.04.29
옵션
(유넥) 아이보리
FREE
사이즈
정사이즈예요
퀄리티
아주 만족해요
색감
화면과 비슷해요
정보
156cm
46kg
상의 44
체험단 이벤트로 상품을 무료로 제공받아 작성한 리뷰입니다.
꼭 소장해야하는 기본 티셔츠에요!

단독으로 입어도 좋고, 이너로 입어도 좋고 어디에나 매치하기 너무 쉽고 편해서 좋아요! 적당히 파인 유넥이라 부담스럽지도 않고, 쇄골이 살짝 보여서 날씬해보이는 느낌도 들어요

그리고 무엇보다 소재가 너무 좋아요! …
더보기",zigzag_reviews_1.csv,"['혀니', '유넥', '이벤트', '무료', '제공', '작성', '소장', '티셔츠', '단독', '어디', '매치', '유넥', '부담', '쇄골', '무엇', '소재']",positive,0,상의/반팔,review_1.jpg,https://zigzag.kr/catalog/products/122550593
"jay2
탑리뷰어
신고
25.04.28
옵션
(유넥) 블랙
FREE
사이즈
정사이즈예요
퀄리티
아주 만족해요
색감
화면과 비슷해요
정보
168cm
56kg
상의 55
체험단 이벤트로 상품을 무료로 제공받아 작성한 리뷰입니다.
? 디자인 & 핏
군더더기 없이 깔끔한 디자인으로, 정말 활용도 최고였던 기본티에요!
딥한 유넥 라인이지만 부담스럽지 않고, 쇄골라인과 목선을 은은하게 드러내줘서
심플하면서도 여리여리한 느낌이 자연스럽게 살았어요 >,,<
핏은 너무 타이트하지도, 너무…
더보기",zigzag_reviews_1.csv,"['유넥', '이벤트', '무료', '제공', '작성', '디자인', '군더더기', '디자인', '정말', '활용', '최고', '유넥', '라인', '부담', '쇄골', '라인', '목선', '심플', '자연', '타이', '지도']",positive,0,상의/반팔,review_1.jpg,https://zigzag.kr/catalog/products/122550593
"서계안
탑리뷰어
신고
25.05.11
옵션
(유넥) 라이트카키
FREE
사이즈
정사이즈예요
퀄리티
아주 만족해요
색감
화면과 비슷해요
정보
168cm
56kg
상의 66
? 재구매입니다.

저 이거 얼마 전에 검은 색으로 한 장 샀는데 결국 아이보리와 라이트카키 2장 추가로 구매했습니다. 뭔가 촤르르한 느낌이 좋고 군살이 부각되지 않아서 (특히 배부분) 하루종일 입고 있어도 부담이 없고 너무 편안해요. 3장 함께 찍은…
더보기",zigzag_reviews_1.csv,"['유넥', '라이트', '카키', '얼마', '라이트', '카키', '추가', '뭔가', '촤르르', '군살', '부각', '배부', '하루', '종일', '부담']",positive,1,상의/반팔,review_1.jpg,https://zigzag.kr/catalog/products/122550593
"1I6rdF43
신고
24.11.19
옵션
아이보리
FREE
사이즈
정사이즈예요
퀄리티
아주 만족해요
색감
화면과 비슷해요
정보
167cm
58kg
상의 55
이거 저 화이트 사고 받자마자 미쳤다 하고 바로 블랙 쟁였는데요.. 진짜 이게 부들부들 스판끼 미쳤는데 또 후줄근한 느낌 전혀 없고 늘어남 없고 미쳤어요. 단독으로 입기도 너무 좋고 이너로 받쳐 입기도 진짜 너무 예쁩니다ㅜ 꼭 사세요",zigzag_reviews_1.csv,"['사고', '바로', '부들부들', '스판끼', '전혀', '단독']",positive,1,상의/반팔,review_1.jpg,https://zigzag.kr/catalog/products/122550593
"O0UUZr4g
신고
24.08.18
옵션
아이보리
FREE
사이즈
정사이즈예요
퀄리티
아주 만족해요
색감
화면과 비슷해요
정보
173cm
63kg
상의 77
라운드넥의 보들보들한 흰티에요! 생각보다 비침이 없어요. 약간 내복 같을 수 있는데 착용하면 괜찮은거같기도 해요. 정사이즈인데 골반까지 내려오는 기장이고 넣어입을때 빼서 입을때 느낌이 달라요! 넣는게 더 이쁨! 이너로 입어도 되고 단독으로 입어도 되고…
더보기",zigzag_reviews_1.csv,"['라운드', '약간', '내복', '착용', '골반', '달라', '단독']",positive,2,상의/반팔,review_1.jpg,https://zigzag.kr/catalog/products/122550593
"나아니면누구뽑을건데
상위 5%
신고
24.08.06
옵션
베이지
FREE
사이즈
생각보다 커요
퀄리티
아주 만족해요
색감
화면과 비슷해요
정보
158cm
47kg
상의 55
??프로필
-키 158 55사이즈 xs-s
-상체에 비해 하체통통
촌스러운 베이지 색상이 아니라 브라운 계열의 치마와 스타일링해도 예쁘고 청바지랑 매치해도 예쁠 것 같아요!
무엇보다 촉감이 보들보들하니 진짜 입을 때마다 기부니가 좋습니다??
모두들 강츄…
더보기",zigzag_reviews_1.csv,"['누구', '베이지', '프로필', '상체', '하체', '통통', '베이지', '계열', '스타', '일링', '해도', '청바지', '매치', '무엇', '촉감', '기부', '모두', '강츄']",positive,2,상의/반팔,review_1.jpg,https://zigzag.kr/catalog/products/122550593
